frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
43,1763110266.400901963,172.16.3.2,-6.82995557785034,-79.2711853981018,34050,320,CMP421,0x0c2076,DO-260B
44,1763110266.413118351,172.16.13.2,-2.70066261291504,-72.9299283027649,34075,320,CMP439,0x0c20dd,DO-260B
45,1763110266.423197688,172.16.3.2,-7.11154460906982,-78.8001894950867,34075,320,CMP264,0x0c21b6,DO-260B
46,1763110266.423633089,10.30.212.17,-11.9084930419922,-77.3881030082703,40325,380,RPB509,0x0c2081,DO-260B
47,1763110266.424101731,10.30.212.17,-11.9084930419922,-77.3881030082703,40325,380,RPB509,0x0c2081,DO-260B
48,1763110266.426270218,10.30.212.17,-15.0025177001953,-77.2574472427368,39175,370,UAL847,0xaac8a4,DO-260B
49,1763110266.433134573,172.16.13.2,-5.39947986602783,-76.4687705039978,39400,370,DWI3761,0x0c4354,DO-260B
50,1763110266.488530422,172.16.3.2,-3.30873012542725,-83.0653953552246,,340,AMX029,0xa540e2,DO-260B
52,1763110266.507046108,172.16.1.2,-17.7913498878479,-75.5412626266479,34875,330,AAL907,0xaa57df,DO-260B
53,1763110266.507512206,172.16.11.2,-7.63665676116943,-79.1690254211426,37300,350,AAL1307,0xa515ad,DO-260B
54,1763110266.545238083,172.16.11.2,-10.1250171661377,-77.865879535675,30650,287.75,TAI428,0xad4ebc,DO-260B
56,1763110266.552278089,172.16.11.2,-7.29123115539551,-79.8976421356201,,389.75,AAL933,0xac1076,DO-260B
57,1763110266.552317501,172.16.13.2,-2.14553117752075,-70.3868937492371,47425,450,PSSFR,0xe49bba,DO-260B
58,1763110266.575641015,172.16.13.2,-2.14553117752075,-70.3868937492371,47425,450,PSSFR,0xe49bba,DO-260B
59,1763110266.594913647,172.16.11.2,-7.49153852462769,-79.1875433921814,38250,360,LAN572,0xe8022a,DO-260B
60,1763110266.614296352,10.30.212.17,-14.5006656646729,-77.356903553009,33925,320,LAE2835,0xa7459d,DO-260B
61,1763110266.741535396,10.30.212.17,-11.0630393028259,-76.944465637207,27850,261.75,LPE2231,0xe8041b,DO-260B
65,1763110266.744604002,10.30.212.17,-11.9660210609436,-78.05912733078,41350,390,AAL957,0xaac337,DO-260B
66,1763110266.744674208,172.16.7.2,-5.39947986602783,-76.4687705039978,39400,370,DWI3761,0x0c4354,DO-260B
67,1763110266.776883528,172.16.7.2,-5.39947986602783,-76.4687705039978,39400,370,DWI3761,0x0c4354,DO-260B
68,1763110266.777320026,10.30.212.17,-9.42365169525146,-78.3872580528259,37200,350,LPE2483,0xe8040c,DO-260B
69,1763110266.792127848,10.30.212.17,-9.42365169525146,-78.3872580528259,37200,350,LPE2483,0xe8040c,DO-260B
70,1763110266.817248866,172.16.3.2,-4.52756881713867,-79.559383392334,36200,340,CMP118,0x0c20bb,DO-260B
71,1763110266.817680241,10.30.212.17,-10.1239442825317,-77.8662014007568,30650,287.75,TAI428,0xad4ebc,DO-260B
